"","prs","total"
"1","--",1903
"2","-p",1251
"3","-s",2522
"4","__",52
"5","_p",1
"6","_s",18
"7","1-",1
"8","1p",246
"9","1s",1236
"10","2p",183
"11","2s",891
"12","3p",1914
"13","3s",5659
