"";"lemma";"Total";"one_sg";"pctA";"two_sg";"pctB";"three_sg";"pctC";"one_pl";"pctD";"two_pl";"pctE";"three_pl";"pctF"
"2421";"sancio";10;0;0;0;0;4;0,4;0;0;0;0;0;0
"2422";"sancio1";4;0;0;0;0;0;0;0;0;0;0;0;0
"2423";"sanctifico1";1;0;0;0;0;1;1;0;0;0;0;0;0
"2424";"sano1";5;1;0,2;0;0;0;0;0;0;0;0;0;0
"2425";"sapio";3;0;0;0;0;1;0,333333333333333;0;0;0;0;0;0
"2426";"sapio1";1;0;0;0;0;1;1;0;0;0;0;0;0
"2427";"satago1";1;0;0;1;1;0;0;0;0;0;0;0;0
"2428";"satio1";2;0;0;0;0;1;0,5;0;0;0;0;0;0
"2429";"saturo1";1;0;0;0;0;0;0;0;0;0;0;0;0
"2430";"saucio";1;0;0;0;0;0;0;0;0;0;0;1;1
"2431";"scalpo";1;0;0;0;0;0;0;0;0;0;0;0;0
"2432";"scando";1;0;0;0;0;1;1;0;0;0;0;0;0
"2433";"scelero";3;0;0;0;0;0;0;0;0;0;0;0;0
"2434";"scelero1";2;0;0;0;0;0;0;0;0;0;0;0;0
"2435";"scindo";1;0;0;0;0;0;0;0;0;0;0;1;1
"2436";"scindo1";2;0;0;0;0;1;0,5;0;0;0;0;0;0
"2437";"scintillo1";1;0;0;0;0;1;1;0;0;0;0;0;0
"2438";"scio";15;8;0,533333333333333;1;0,0666666666666667;3;0,2;0;0;0;0;2;0,133333333333333
"2439";"scio1";60;19;0,316666666666667;9;0,15;12;0,2;4;0,0666666666666667;8;0,133333333333333;3;0,05
"2440";"sciscitor1";1;0;0;0;0;0;0;0;0;0;0;0;0
"2441";"scitor1";1;0;0;1;1;0;0;0;0;0;0;0;0
"2442";"scribo";15;4;0,266666666666667;0;0;6;0,4;0;0;0;0;2;0,133333333333333
"2443";"scribo1";41;1;0,024390243902439;12;0,292682926829268;2;0,0487804878048781;0;0;0;0;2;0,0487804878048781
"2444";"scrutor";3;0;0;0;0;2;0,666666666666667;0;0;0;0;0;0
"2445";"scrutor1";2;0;0;0;0;0;0;0;0;0;0;0;0
"2446";"sculpo1";1;0;0;1;1;0;0;0;0;0;0;0;0
"2447";"secedo1";5;0;0;0;0;2;0,4;0;0;0;0;1;0,2
"2448";"secerno";8;0;0;0;0;1;0,125;0;0;0;0;0;0
"2449";"secerno1";3;0;0;1;0,333333333333333;0;0;0;0;0;0;2;0,666666666666667
"2450";"secludo1";1;0;0;0;0;1;1;0;0;0;0;0;0
"2451";"seco1";4;0;0;0;0;1;0,25;0;0;0;0;0;0
"2452";"secor";1;0;0;0;0;0;0;0;0;0;0;1;1
"2453";"sector2";2;0;0;0;0;0;0;0;0;0;0;0;0
"2454";"sedeo";10;0;0;0;0;3;0,3;0;0;0;0;0;0
"2455";"sedeo1";47;2;0,0425531914893617;0;0;18;0,382978723404255;0;0;0;0;7;0,148936170212766
"2456";"sedo";1;0;0;0;0;0;0;0;0;0;0;0;0
"2457";"sedo1";1;0;0;0;0;0;0;0;0;0;0;0;0
"2458";"seduco";1;0;0;0;0;0;0;0;0;0;0;0;0
"2459";"seduco1";9;0;0;0;0;7;0,777777777777778;0;0;0;0;0;0
"2460";"segrego";1;0;0;0;0;0;0;0;0;0;0;0;0
"2461";"sejungo1";1;0;0;0;0;1;1;0;0;0;0;0;0
"2462";"semino1";1;0;0;0;0;1;1;0;0;0;0;0;0
"2463";"senesco";1;0;0;0;0;1;1;0;0;0;0;0;0
"2464";"sentio";15;0;0;1;0,0666666666666667;12;0,8;0;0;0;0;0;0
"2465";"sentio1";25;2;0,08;5;0,2;9;0,36;0;0;0;0;5;0,2
"2466";"separo";1;0;0;0;0;0;0;0;0;0;0;0;0
"2467";"separo1";1;0;0;0;0;1;1;0;0;0;0;0;0
"2468";"sepelio1";2;0;0;0;0;0;0;0;0;0;0;1;0,5
"2469";"sepono";3;1;0,333333333333333;0;0;1;0,333333333333333;0;0;0;0;0;0
"2470";"sepono1";1;0;0;0;0;0;0;0;0;0;0;0;0
"2471";"sequor";11;0;0;1;0,0909090909090909;4;0,363636363636364;0;0;0;0;0;0
"2472";"sequor1";31;1;0,032258064516129;0;0;10;0,32258064516129;2;0,0645161290322581;0;0;4;0,129032258064516
"2473";"sero1";5;0;0;0;0;0;0;0;0;0;0;0;0
"2474";"sero2";1;0;0;0;0;0;0;0;0;0;0;1;1
"2475";"servio";3;1;0,333333333333333;0;0;1;0,333333333333333;0;0;0;0;1;0,333333333333333
"2476";"servio1";12;2;0,166666666666667;1;0,0833333333333333;2;0,166666666666667;0;0;1;0,0833333333333333;2;0,166666666666667
"2477";"servo";6;1;0,166666666666667;0;0;2;0,333333333333333;0;0;0;0;0;0
"2478";"servo1";23;2;0,0869565217391304;6;0,260869565217391;7;0,304347826086957;0;0;0;0;4;0,173913043478261
"2479";"sicco1";3;0;0;0;0;1;0,333333333333333;0;0;0;0;0;0
"2480";"sido1";1;0;0;0;0;0;0;0;0;0;0;1;1
"2481";"significo";5;0;0;0;0;1;0,2;0;0;0;0;1;0,2
"2482";"significo1";3;0;0;0;0;2;0,666666666666667;0;0;0;0;1;0,333333333333333
"2483";"signo";3;0;0;0;0;0;0;0;0;0;0;0;0
"2484";"signo1";9;0;0;2;0,222222222222222;1;0,111111111111111;1;0,111111111111111;0;0;0;0
"2485";"sileo1";3;0;0;0;0;1;0,333333333333333;0;0;0;0;0;0
"2486";"simulo";4;0;0;0;0;1;0,25;0;0;0;0;0;0
"2487";"simulo1";3;0;0;0;0;0;0;0;0;0;0;1;0,333333333333333
"2488";"sino";2;0;0;0;0;1;0,5;0;0;0;0;1;0,5
"2489";"sino1";15;1;0,0666666666666667;2;0,133333333333333;6;0,4;1;0,0666666666666667;0;0;1;0,0666666666666667
"2490";"sisto";1;0;0;0;0;0;0;0;0;0;0;0;0
"2491";"sisto1";1;0;0;0;0;0;0;0;0;0;0;0;0
"2492";"sitio";1;0;0;0;0;0;0;0;0;0;0;1;1
"2493";"sitio1";3;0;0;0;0;1;0,333333333333333;0;0;0;0;1;0,333333333333333
"2494";"sodes";1;0;0;1;1;0;0;0;0;0;0;0;0
"2495";"soleo";16;0;0;1;0,0625;7;0,4375;0;0;0;0;3;0,1875
"2496";"soleo1";30;4;0,133333333333333;6;0,2;10;0,333333333333333;0;0;0;0;4;0,133333333333333
"2497";"sollicito";2;0;0;0;0;0;0;0;0;0;0;1;0,5
"2498";"sollicito1";6;0;0;0;0;1;0,166666666666667;0;0;0;0;2;0,333333333333333
"2499";"solo1";1;0;0;0;0;1;1;0;0;0;0;0;0
"2500";"solvo";9;2;0,222222222222222;0;0;2;0,222222222222222;0;0;0;0;1;0,111111111111111
"2501";"solvo1";15;2;0,133333333333333;2;0,133333333333333;4;0,266666666666667;0;0;1;0,0666666666666667;0;0
"2502";"sono";1;0;0;0;0;0;0;0;0;0;0;0;0
"2503";"sono1";6;0;0;0;0;3;0,5;0;0;0;0;0;0
"2504";"sopio";1;0;0;0;0;0;0;0;0;0;0;0;0
"2505";"sordesco1";1;0;0;0;0;1;1;0;0;0;0;0;0
"2506";"sortior";3;0;0;0;0;0;0;0;0;0;0;0;0
"2507";"spargo1";11;0;0;0;0;2;0,181818181818182;0;0;0;0;2;0,181818181818182
"2508";"spatior";2;0;0;2;1;0;0;0;0;0;0;0;0
"2509";"specto";13;0;0;0;0;3;0,230769230769231;0;0;0;0;0;0
"2510";"specto1";12;1;0,0833333333333333;1;0,0833333333333333;5;0,416666666666667;1;0,0833333333333333;0;0;1;0,0833333333333333
"2511";"speculor";1;0;0;0;0;0;0;0;0;0;0;1;1
"2512";"speculor1";1;0;0;0;0;1;1;0;0;0;0;0;0
"2513";"sperno";4;0;0;0;0;2;0,5;0;0;0;0;0;0
"2514";"sperno1";1;0;0;0;0;0;0;0;0;0;0;0;0
"2515";"spero";2;0;0;0;0;1;0,5;0;0;0;0;0;0
"2516";"spero1";14;5;0,357142857142857;0;0;4;0,285714285714286;0;0;0;0;2;0,142857142857143
"2517";"spiro1";2;0;0;0;0;0;0;0;0;0;0;0;0
"2518";"splendeo1";2;0;0;0;0;0;0;0;0;0;0;0;0
"2519";"spolio";5;0;0;0;0;1;0,2;0;0;0;0;0;0
"2520";"spolio1";4;0;0;0;0;1;0,25;0;0;0;0;0;0
"2521";"spondeo1";1;0;0;0;0;0;0;0;0;0;0;1;1
"2522";"spumo";1;0;0;0;0;0;0;0;0;0;0;0;0
"2523";"spumo1";1;0;0;0;0;0;0;0;0;0;0;0;0
"2524";"spuo1";1;0;0;0;0;1;1;0;0;0;0;0;0
"2525";"stabulo1";1;0;0;0;0;0;0;0;0;0;0;1;1
"2526";"stagno1";1;0;0;0;0;0;0;0;0;0;0;0;0
"2527";"statuo";2;0;0;0;0;1;0,5;0;0;0;0;0;0
"2528";"statuo1";10;2;0,2;1;0,1;3;0,3;1;0,1;3;0,3;0;0
"2529";"stello1";1;0;0;0;0;0;0;0;0;0;0;0;0
"2530";"sterno";1;0;0;0;0;0;0;0;0;0;0;0;0
"2531";"sterno1";3;0;0;0;0;0;0;1;0,333333333333333;0;0;1;0,333333333333333
"2532";"sterto1";1;0;0;0;0;1;1;0;0;0;0;0;0
"2533";"stimulo1";1;0;0;0;0;0;0;0;0;0;0;1;1
"2534";"sto";13;0;0;0;0;4;0,307692307692308;0;0;0;0;2;0,153846153846154
"2535";"sto1";36;2;0,0555555555555556;1;0,0277777777777778;10;0,277777777777778;0;0;0;0;8;0,222222222222222
"2536";"strepo1";1;0;0;0;0;0;0;0;0;0;0;0;0
"2537";"strideo1";1;0;0;0;0;0;0;0;0;0;0;0;0
"2538";"strido1";1;0;0;0;0;0;0;0;0;0;0;0;0
"2539";"stringo";1;0;0;0;0;1;1;0;0;0;0;0;0
"2540";"stringo1";5;1;0,2;0;0;0;0;0;0;0;0;0;0
"2541";"struo1";3;0;0;0;0;1;0,333333333333333;0;0;0;0;1;0,333333333333333
"2542";"studeo";3;1;0,333333333333333;0;0;0;0;0;0;0;0;1;0,333333333333333
"2543";"studeo1";6;1;0,166666666666667;1;0,166666666666667;0;0;0;0;0;0;3;0,5
"2544";"stupeo1";4;1;0,25;2;0,5;0;0;0;0;0;0;0;0
"2545";"suadeo";4;0;0;0;0;2;0,5;0;0;0;0;0;0
"2546";"suadeo1";8;6;0,75;0;0;1;0,125;0;0;0;0;1;0,125
"2547";"sub-moveo";1;0;0;0;0;1;1;0;0;0;0;0;0
"2548";"subago";1;0;0;0;0;1;1;0;0;0;0;0;0
"2549";"subdo1";2;0;0;0;0;1;0,5;0;0;0;0;0;0
"2550";"subduco";1;0;0;0;0;1;1;0;0;0;0;0;0
"2551";"subduco1";2;0;0;0;0;1;0,5;0;0;0;0;0;0
"2552";"subeo";6;0;0;0;0;1;0,166666666666667;0;0;0;0;0;0
"2553";"subeo1";13;0;0;1;0,0769230769230769;3;0,230769230769231;0;0;0;0;2;0,153846153846154
"2554";"subicio";10;1;0,1;0;0;4;0,4;0;0;0;0;0;0
"2555";"subicio,";1;0;0;0;0;1;1;0;0;0;0;0;0
"2556";"subicio1";2;0;0;0;0;2;1;0;0;0;0;0;0
"2557";"subiecto1";1;0;0;0;0;0;0;0;0;0;0;0;0
"2558";"subigo1";4;0;0;0;0;2;0,5;0;0;0;0;0;0
"2559";"subjectum1";1;0;0;0;0;0;0;0;0;0;0;0;0
"2560";"sublevo1";1;0;0;0;0;0;0;0;0;0;0;0;0
"2561";"submoveo1";2;0;0;0;0;1;0,5;0;0;0;0;0;0
"2562";"subolfacio1";1;1;1;0;0;0;0;0;0;0;0;0;0
"2563";"suborno";1;0;0;0;0;1;1;0;0;0;0;0;0
"2564";"suborno1";3;0;0;0;0;0;0;0;0;0;0;0;0
"2565";"subpono1";1;0;0;0;0;0;0;0;0;0;0;0;0
"2566";"subrideo1";1;0;0;0;0;0;0;0;0;0;0;0;0
"2567";"subscribo";2;0;0;0;0;1;0,5;0;0;0;0;0;0
"2568";"subsequor";2;0;0;0;0;1;0,5;0;0;0;0;0;0
"2569";"subsequor1";1;0;0;0;0;0;0;0;0;0;0;0;0
"2570";"subsido";1;0;0;0;0;1;1;0;0;0;0;0;0
"2571";"subsido1";2;0;0;0;0;0;0;0;0;0;0;1;0,5
"2572";"substituo";1;0;0;0;0;0;0;0;0;0;0;0;0
"2573";"substo1";1;0;0;0;0;1;1;0;0;0;0;0;0
"2574";"subterfugio";1;0;0;0;0;0;0;0;0;0;0;1;1
"2575";"subvecto1";1;0;0;0;0;1;1;0;0;0;0;0;0
"2576";"subverto";1;0;0;0;0;0;0;0;0;0;0;0;0
"2577";"subverto1";2;0;0;0;0;1;0,5;0;0;0;0;0;0
"2578";"succedo1";1;0;0;0;0;0;0;0;0;0;0;0;0
"2579";"succendo";3;0;0;0;0;3;1;0;0;0;0;0;0
"2580";"succingo";1;0;0;0;0;0;0;0;0;0;0;0;0
"2581";"succingo1";3;0;0;0;0;0;0;0;0;0;0;0;0
"2582";"succino1";1;0;0;0;0;0;0;0;0;0;0;0;0
"2583";"succumbo";1;0;0;0;0;1;1;0;0;0;0;0;0
"2584";"succumbo1";1;0;0;0;0;0;0;0;0;0;0;0;0
"2585";"succurro";1;0;0;0;0;1;1;0;0;0;0;0;0
"2586";"succurro1";2;0;0;0;0;0;0;0;0;0;0;1;0,5
"2587";"sudo1";1;0;0;0;0;1;1;0;0;0;0;0;0
"2588";"suesco";1;0;0;0;0;0;0;0;0;0;0;0;0
"2589";"sufficio";5;0;0;0;0;1;0,2;0;0;0;0;1;0,2
"2590";"sufficio1";1;0;0;0;0;1;1;0;0;0;0;0;0
"2591";"sufflo1";1;0;0;1;1;0;0;0;0;0;0;0;0
"2592";"suffundo1";1;0;0;0;0;1;1;0;0;0;0;0;0
"2593";"sum1";2091;97;0,046389287422286;86;0,0411286465805835;1231;0,588713534194165;27;0,0129124820659971;9;0,00430416068866571;388;0,185557149689144
"2594";"summitto";1;0;0;0;0;0;0;0;0;0;0;0;0
"2595";"summitto1";1;0;0;0;0;1;1;0;0;0;0;0;0
"2596";"summoneo";1;0;0;0;0;0;0;0;0;0;0;0;0
"2597";"summoveo";3;0;0;0;0;3;1;0;0;0;0;0;0
"2598";"summoveo1";1;0;0;0;0;1;1;0;0;0;0;0;0
"2599";"sumo";5;0;0;0;0;1;0,2;0;0;0;0;1;0,2
"2600";"sumo1";15;0;0;0;0;2;0,133333333333333;0;0;0;0;3;0,2
"2601";"super-sedeo";1;1;1;0;0;0;0;0;0;0;0;0;0
"2602";"superbio";1;0;0;0;0;0;0;0;0;0;0;0;0
"2603";"superfluo1";1;0;0;0;0;1;1;0;0;0;0;0;0
"2604";"supero";2;0;0;0;0;1;0,5;0;0;0;0;0;0
"2605";"supero1";3;0;0;0;0;1;0,333333333333333;0;0;0;0;1;0,333333333333333
"2606";"supersto1";1;0;0;1;1;0;0;0;0;0;0;0;0
"2607";"supersum";2;0;0;0;0;1;0,5;0;0;0;0;1;0,5
"2608";"supersum1";3;0;0;0;0;1;0,333333333333333;0;0;0;0;0;0
"2609";"suppedito";1;0;0;0;0;1;1;0;0;0;0;0;0
"2610";"suppeto";1;0;0;0;0;1;1;0;0;0;0;0;0
"2611";"suppeto1";1;0;0;0;0;1;1;0;0;0;0;0;0
"2612";"suppleo";1;0;0;0;0;1;1;0;0;0;0;0;0
"2613";"supplico";4;0;0;0;0;1;0,25;0;0;0;0;1;0,25
"2614";"suppono";1;0;0;0;0;0;0;0;0;0;0;1;1
"2615";"suppono1";4;0;0;0;0;0;0;0;0;0;0;1;0,25
"2616";"supprimo";2;0;0;0;0;0;0;0;0;0;0;1;0,5
"2617";"supprimo1";2;0;0;0;0;2;1;0;0;0;0;0;0
"2618";"surgo";1;0;0;0;0;0;0;0;0;0;0;0;0
"2619";"surgo1";8;0;0;1;0,125;5;0,625;0;0;0;0;1;0,125
"2620";"surripio";1;0;0;0;0;0;0;0;0;0;0;0;0
"2621";"suscepto1";1;1;1;0;0;0;0;0;0;0;0;0;0
"2622";"suscipio";7;0;0;0;0;2;0,285714285714286;0;0;0;0;1;0,142857142857143
"2623";"suscipio1";4;2;0,5;0;0;0;0;0;0;0;0;2;0,5
"2624";"suspendo";1;0;0;0;0;0;0;0;0;0;0;0;0
"2625";"suspendo1";1;0;0;0;0;0;0;0;0;0;0;0;0
"2626";"suspicio1";7;0;0;0;0;0;0;0;0;0;0;0;0
"2627";"suspicor";2;0;0;0;0;0;0;0;0;0;0;0;0
"2628";"suspicor1";3;0;0;0;0;1;0,333333333333333;0;0;0;0;0;0
"2629";"suspiro1";1;0;0;0;0;1;1;0;0;0;0;0;0
"2630";"sustento1";1;0;0;0;0;1;1;0;0;0;0;0;0
"2631";"sustineo";6;0;0;0;0;4;0,666666666666667;0;0;1;0,166666666666667;0;0
"2632";"sustineo1";9;1;0,111111111111111;1;0,111111111111111;4;0,444444444444444;0;0;0;0;1;0,111111111111111
"2633";"tabesco1";2;0;0;0;0;1;0,5;0;0;0;0;0;0
"2634";"taceo";7;0;0;0;0;1;0,142857142857143;0;0;0;0;0;0
"2635";"taceo1";15;2;0,133333333333333;5;0,333333333333333;1;0,0666666666666667;0;0;0;0;3;0,2
"2636";"tango";4;0;0;0;0;2;0,5;0;0;0;0;0;0
"2637";"tango1";11;3;0,272727272727273;1;0,0909090909090909;3;0,272727272727273;0;0;0;0;2;0,181818181818182
"2638";"tardo1";1;0;0;0;0;1;1;0;0;0;0;0;0
"2639";"taxo";2;0;0;0;0;2;1;0;0;0;0;0;0
"2640";"tego";1;0;0;0;0;0;0;0;0;0;0;0;0
"2641";"tego1";17;0;0;0;0;12;0,705882352941177;0;0;0;0;2;0,117647058823529
"2642";"tempero";2;0;0;0;0;2;1;0;0;0;0;0;0
"2643";"tempero1";2;0;0;0;0;1;0,5;0;0;0;0;1;0,5
"2644";"tempto";1;0;0;0;0;0;0;0;0;0;0;0;0
"2645";"tendo";3;0;0;0;0;1;0,333333333333333;0;0;0;0;0;0
"2646";"tendo1";9;0;0;0;0;2;0,222222222222222;0;0;0;0;1;0,111111111111111
"2647";"teneo";16;1;0,0625;0;0;8;0,5;0;0;0;0;2;0,125
"2648";"teneo1";46;2;0,0434782608695652;5;0,108695652173913;16;0,347826086956522;0;0;1;0,0217391304347826;8;0,173913043478261
"2649";"tento";4;0;0;0;0;2;0,5;0;0;0;0;0;0
"2650";"tento1";16;1;0,0625;1;0,0625;3;0,1875;1;0,0625;1;0,0625;0;0
"2651";"tergeo,";1;0;0;0;0;1;1;0;0;0;0;0;0
"2652";"tergeo1";3;0;0;0;0;2;0,666666666666667;0;0;0;0;0;0
"2653";"termino";1;0;0;0;0;1;1;0;0;0;0;0;0
"2654";"tero1";3;0;0;0;0;1;0,333333333333333;0;0;0;0;1;0,333333333333333
"2655";"terreo";6;0;0;0;0;3;0,5;0;0;0;0;0;0
"2656";"terreo1";6;0;0;0;0;1;0,166666666666667;0;0;0;0;2;0,333333333333333
"2657";"testificor1";1;0;0;0;0;0;0;0;0;0;0;0;0
"2658";"testor";3;0;0;0;0;1;0,333333333333333;0;0;0;0;0;0
"2659";"testor1";1;0;0;0;0;0;0;1;1;0;0;0;0
"2660";"texo1";1;0;0;0;0;0;0;0;0;0;0;0;0
"2661";"timeo";7;1;0,142857142857143;1;0,142857142857143;0;0;0;0;0;0;0;0
"2662";"timeo1";34;8;0,235294117647059;3;0,0882352941176471;7;0,205882352941176;0;0;3;0,0882352941176471;3;0,0882352941176471
"2663";"tingo";1;0;0;0;0;0;0;0;0;0;0;0;0
"2664";"tingo1";3;0;0;0;0;2;0,666666666666667;0;0;0;0;0;0
"2665";"tolero";5;0;0;0;0;0;0;0;0;0;0;1;0,2
"2666";"tolero1";2;0;0;0;0;1;0,5;0;0;0;0;0;0
"2667";"toleror1";4;0;0;0;0;1;0,25;0;0;0;0;2;0,5
"2668";"tollo";12;2;0,166666666666667;1;0,0833333333333333;5;0,416666666666667;0;0;0;0;1;0,0833333333333333
"2669";"tollo1";34;5;0,147058823529412;0;0;11;0,323529411764706;0;0;0;0;6;0,176470588235294
"2670";"tondeo";1;0;0;0;0;0;0;0;0;0;0;0;0
"2671";"tono";5;0;0;0;0;0;0;0;0;0;0;0;0
"2672";"tono1";1;0;0;0;0;0;0;0;0;0;0;0;0
"2673";"torpesco1";1;0;0;0;0;0;0;0;0;0;0;1;1
"2674";"torqueo";4;0;0;0;0;3;0,75;0;0;0;0;0;0
"2675";"torqueo1";4;0;0;1;0,25;1;0,25;0;0;0;0;0;0
"2676";"torreo1";1;0;0;0;0;1;1;0;0;0;0;0;0
"2677";"tracto";3;0;0;0;0;2;0,666666666666667;0;0;0;0;0;0
"2678";"tracto1";3;0;0;0;0;1;0,333333333333333;0;0;0;0;2;0,666666666666667
"2679";"trado";12;4;0,333333333333333;0;0;3;0,25;0;0;0;0;2;0,166666666666667
"2680";"trado1";11;1;0,0909090909090909;1;0,0909090909090909;2;0,181818181818182;0;0;0;0;3;0,272727272727273
"2681";"traduco";4;0;0;0;0;1;0,25;0;0;0;0;0;0
"2682";"traduco1";4;0;0;0;0;1;0,25;0;0;0;0;0;0
"2683";"traho";4;0;0;0;0;2;0,5;0;0;0;0;0;0
"2684";"traho1";15;1;0,0666666666666667;0;0;5;0,333333333333333;0;0;0;0;5;0,333333333333333
"2685";"traicio";4;0;0;0;0;0;0;0;0;0;0;0;0
"2686";"traicio1";2;0;0;0;0;1;0,5;0;0;0;0;0;0
"2687";"transcendo1";1;0;0;0;0;0;0;0;0;0;0;0;0
"2688";"transeo";4;0;0;0;0;2;0,5;0;0;0;0;0;0
"2689";"transeo1";9;1;0,111111111111111;0;0;3;0,333333333333333;0;0;0;0;3;0,333333333333333
"2690";"transfero";3;1;0,333333333333333;0;0;1;0,333333333333333;0;0;0;0;0;0
"2691";"transfero1";5;0;0;1;0,2;2;0,4;0;0;0;0;1;0,2
"2692";"transgredior";3;0;0;0;0;0;0;0;0;0;0;0;0
"2693";"transigo";4;0;0;0;0;3;0,75;0;0;0;0;0;0
"2694";"transjacio1";3;0;0;0;0;3;1;0;0;0;0;0;0
"2695";"transmitto";1;0;0;0;0;0;0;0;0;0;0;0;0
"2696";"transmitto1";1;0;0;0;0;0;0;0;0;0;0;0;0
"2697";"transporto1";1;0;0;0;0;0;0;0;0;0;0;0;0
"2698";"transveho";1;0;0;0;0;0;0;0;0;0;0;0;0
"2699";"tremo1";3;0;0;1;0,333333333333333;0;0;0;0;0;0;0;0
"2700";"trepido";1;0;0;0;0;0;0;0;0;0;0;0;0
"2701";"trepido,";1;0;0;0;0;0;0;1;1;0;0;0;0
"2702";"trepido1";6;0;0;0;0;0;0;0;0;0;0;0;0
"2703";"tribuo";11;0;0;0;0;6;0,545454545454545;0;0;1;0,0909090909090909;0;0
"2704";"tribuo1";1;0;0;0;0;1;1;0;0;0;0;0;0
"2705";"tricor";1;0;0;0;0;0;0;0;0;0;0;0;0
"2706";"tripudio1";1;0;0;0;0;0;0;0;0;0;0;0;0
"2707";"triumpho";1;1;1;0;0;0;0;0;0;0;0;0;0
"2708";"triumpho1";2;0;0;0;0;1;0,5;0;0;0;0;1;0,5
"2709";"trucido";3;0;0;0;0;1;0,333333333333333;0;0;0;0;1;0,333333333333333
"2710";"trucido1";2;0;0;0;0;0;0;0;0;1;0,5;0;0
"2711";"trudo1";1;0;0;0;0;1;1;0;0;0;0;0;0
"2712";"tueor";17;0;0;1;0,0588235294117647;0;0;0;0;0;0;2;0,117647058823529
"2713";"tueor1";7;0;0;1;0,142857142857143;0;0;0;0;0;0;0;0
"2714";"tulo1";1;0;0;0;0;1;1;0;0;0;0;0;0
"2715";"tumeo";3;0;0;0;0;0;0;0;0;0;0;0;0
"2716";"tumeo1";1;0;0;0;0;0;0;0;0;0;0;1;1
"2717";"tumultuor1";1;0;0;0;0;0;0;0;0;0;0;0;0
"2718";"tunico";1;0;0;0;0;0;0;0;0;0;0;0;0
"2719";"turbo1";9;0;0;0;0;1;0,111111111111111;0;0;0;0;1;0,111111111111111
"2720";"turgeo1";1;0;0;0;0;0;0;0;0;0;0;0;0
"2721";"tutor2";2;0;0;1;0,5;0;0;0;0;0;0;0;0
"2722";"ulciscor";4;0;0;0;0;0;0;0;0;0;0;0;0
"2723";"ulciscor1";1;0;0;0;0;0;0;0;0;0;0;0;0
"2724";"ululo1";1;0;0;0;0;0;0;0;0;0;0;0;0
"2725";"umeo1";1;0;0;0;0;0;0;0;0;0;0;0;0
"2726";"undo1";1;0;0;0;0;0;0;0;0;0;0;0;0
"2727";"ungo1";4;1;0,25;0;0;1;0,25;0;0;0;0;2;0,5
"2728";"urgeo1";2;0;0;0;0;2;1;0;0;0;0;0;0
"2729";"uro1";1;0;0;0;0;1;1;0;0;0;0;0;0
"2730";"usurpo";3;0;0;0;0;0;0;0;0;0;0;0;0
"2731";"utor";9;0;0;1;0,111111111111111;0;0;0;0;0;0;0;0
"2732";"utor1";16;0;0;0;0;1;0,0625;1;0,0625;1;0,0625;1;0,0625
"2733";"vacillo1";2;0;0;0;0;1;0,5;0;0;0;0;1;0,5
"2734";"vaco";6;0;0;2;0,333333333333333;4;0,666666666666667;0;0;0;0;0;0
"2735";"vaco1";5;1;0,2;0;0;3;0,6;0;0;0;0;1;0,2
"2736";"vacuefacio";1;0;0;0;0;0;0;0;0;0;0;0;0
"2737";"vacuefacio1";1;0;0;1;1;0;0;0;0;0;0;0;0
"2738";"vado1";6;0;0;1;0,166666666666667;3;0,5;0;0;0;0;0;0
"2739";"vagor1";3;1;0,333333333333333;0;0;0;0;0;0;0;0;1;0,333333333333333
"2740";"valeo";7;1;0,142857142857143;0;0;2;0,285714285714286;0;0;0;0;0;0
"2741";"valeo1";22;0;0;4;0,181818181818182;12;0,545454545454545;0;0;0;0;5;0,227272727272727
"2742";"vaporo1";1;0;0;0;0;1;1;0;0;0;0;0;0
"2743";"vario1";1;0;0;0;0;0;0;0;0;0;0;0;0
"2744";"vasto";2;0;0;0;0;0;0;0;0;0;0;0;0
"2745";"vasto1";4;0;0;0;0;2;0,5;0;0;0;0;0;0
"2746";"veho";1;0;0;0;0;1;1;0;0;0;0;0;0
"2747";"veho1";6;0;0;0;0;3;0,5;0;0;0;0;1;0,166666666666667
"2748";"velo1";2;0;0;0;0;0;0;0;0;1;0,5;1;0,5
"2749";"vendito";1;0;0;0;0;1;1;0;0;0;0;0;0
"2750";"vendo";1;0;0;0;0;0;0;0;0;0;0;0;0
"2751";"vendo1";9;3;0,333333333333333;0;0;3;0,333333333333333;0;0;0;0;0;0
"2752";"veneo";1;0;0;0;0;0;0;0;0;0;0;1;1
"2753";"veneror";2;0;0;0;0;0;0;0;0;0;0;0;0
"2754";"venio";23;1;0,0434782608695652;2;0,0869565217391304;12;0,521739130434783;0;0;0;0;3;0,130434782608696
"2755";"venio1";127;19;0,149606299212598;17;0,133858267716535;44;0,346456692913386;2;0,015748031496063;1;0,0078740157480315;22;0,173228346456693
"2756";"venor";2;0;0;0;0;0;0;0;0;0;0;0;0
"2757";"venor1";1;0;0;0;0;0;0;0;0;0;0;0;0
"2758";"ventito";1;0;0;0;0;0;0;0;0;0;0;0;0
"2759";"venumdo";1;0;0;0;0;1;1;0;0;0;0;0;0
"2760";"verbero1";4;0;0;0;0;2;0,5;0;0;0;0;0;0
"2761";"vereor";13;5;0,384615384615385;1;0,0769230769230769;0;0;0;0;0;0;3;0,230769230769231
"2762";"vereor1";3;1;0,333333333333333;0;0;2;0,666666666666667;0;0;0;0;0;0
"2763";"vergo";1;0;0;0;0;0;0;0;0;0;0;1;1
"2764";"vergo1";1;0;0;0;0;1;1;0;0;0;0;0;0
"2765";"verro1";1;0;0;0;0;0;0;0;0;0;0;1;1
