"";"prs";"total";"one_sg";"one_pl";"two_sg";"two_pl";"three_sg";"three_pl"
"1";"v1p";246;0;246;0;0;0;0
"2";"v1s";1236;1236;0;0;0;0;0
"3";"v2p";183;0;0;0;183;0;0
"4";"v2s";891;0;0;891;0;0;0
"5";"v3p";1914;0;0;0;0;0;1914
"6";"v3s";5659;0;0;0;0;5659;0
