"","lemma","total","v1s","v1sFreq","v1p","v1pFreq","v2s","v2sFreq","v2p","v2pFreq","v3s","v3sFreq","v3p","v3pFreq"
"281","coepio",19,1,0.0526315789473684,1,0.0526315789473684,0,0,0,0,13,0.684210526315789,4,0.210526315789474
"282","coepio1",61,9,0.147540983606557,3,0.0491803278688525,1,0.0163934426229508,0,0,31,0.508196721311475,17,0.278688524590164
"289","cognosco1",16,3,0.1875,0,0,3,0.1875,0,0,5,0.3125,5,0.3125
"290","cogo",10,3,0.3,0,0,0,0,0,0,6,0.6,1,0.1
"291","cogo1",11,5,0.454545454545455,1,0.0909090909090909,2,0.181818181818182,0,0,3,0.272727272727273,0,0
"414","consto1",10,0,0,0,0,0,0,0,0,10,1,0,0
"437","contingo1",11,0,0,0,0,0,0,0,0,10,0.909090909090909,1,0.0909090909090909
"460","credo1",35,6,0.171428571428571,1,0.0285714285714286,7,0.2,6,0.171428571428571,9,0.257142857142857,6,0.171428571428571
"466","cresco1",12,2,0.166666666666667,0,0,0,0,0,0,8,0.666666666666667,2,0.166666666666667
"478","curo1",14,9,0.642857142857143,0,0,0,0,0,0,4,0.285714285714286,1,0.0714285714285714
"485","debeo",10,0,0,0,0,1,0.1,0,0,6,0.6,3,0.3
"486","debeo1",17,3,0.176470588235294,1,0.0588235294117647,3,0.176470588235294,0,0,10,0.588235294117647,0,0
"489","decerno1",12,2,0.166666666666667,0,0,0,0,1,0.0833333333333333,6,0.5,3,0.25
"503","dedo1",15,0,0,0,0,0,0,0,0,13,0.866666666666667,2,0.133333333333333
"574","desum",11,0,0,0,0,0,0,0,0,5,0.454545454545455,6,0.545454545454545
"586","dico2",203,32,0.157635467980296,5,0.0246305418719212,15,0.0738916256157636,3,0.0147783251231527,116,0.571428571428571,32,0.157635467980296
"602","discedo1",11,0,0,0,0,1,0.0909090909090909,1,0.0909090909090909,7,0.636363636363636,2,0.181818181818182
"605","disco1",12,3,0.25,1,0.0833333333333333,2,0.166666666666667,0,0,4,0.333333333333333,2,0.166666666666667
"631","do",43,11,0.255813953488372,0,0,2,0.0465116279069767,0,0,25,0.581395348837209,5,0.116279069767442
"632","do1",92,24,0.260869565217391,7,0.0760869565217391,8,0.0869565217391304,3,0.0326086956521739,36,0.391304347826087,14,0.152173913043478
"634","doceo1",11,1,0.0909090909090909,0,0,1,0.0909090909090909,0,0,9,0.818181818181818,0,0
"646","duco1",18,2,0.111111111111111,0,0,3,0.166666666666667,0,0,11,0.611111111111111,2,0.111111111111111
"655","edo2",13,1,0.0769230769230769,0,0,1,0.0769230769230769,0,0,10,0.769230769230769,1,0.0769230769230769
"669","effundo1",12,0,0,0,0,0,0,2,0.166666666666667,9,0.75,1,0.0833333333333333
"691","emo1",15,8,0.533333333333333,0,0,1,0.0666666666666667,0,0,3,0.2,3,0.2
"697","eo1",27,0,0,1,0.037037037037037,5,0.185185185185185,1,0.037037037037037,14,0.518518518518518,6,0.222222222222222
"745","exeo1",26,0,0,2,0.0769230769230769,3,0.115384615384615,0,0,14,0.538461538461538,7,0.269230769230769
